nn.dist,group,category
148.90831440856564,C4-on-C3,EVEN-on-ODD
163.33045398822642,C4-on-C3,EVEN-on-ODD
149.09912441057455,C4-on-C3,EVEN-on-ODD
135.74522348871156,C4-on-C3,EVEN-on-ODD
31.852160052341993,C4-on-C3,EVEN-on-ODD
154.59824222804147,C4-on-C3,EVEN-on-ODD
134.05738510056054,C4-on-C3,EVEN-on-ODD
122.8887354479659,C4-on-C3,EVEN-on-ODD
160.9692570048458,C4-on-C3,EVEN-on-ODD
159.36460397465922,C4-on-C3,EVEN-on-ODD
156.79931026634065,C4-on-C3,EVEN-on-ODD
127.47987213674162,C4-on-C3,EVEN-on-ODD
144.27735997030126,C4-on-C3,EVEN-on-ODD
894.1959217643525,C4-on-C3,EVEN-on-ODD
139.99269302360142,C4-on-C3,EVEN-on-ODD
139.83720391941475,C4-on-C3,EVEN-on-ODD
173.07604946959015,C4-on-C3,EVEN-on-ODD
123.98618673061894,C4-on-C3,EVEN-on-ODD
131.9017952872511,C4-on-C3,EVEN-on-ODD
88.765284317686607,C4-on-C3,EVEN-on-ODD
219.4524759486658,C4-on-C3,EVEN-on-ODD
141.42910202642256,C4-on-C3,EVEN-on-ODD
145.3650401575293,C4-on-C3,EVEN-on-ODD
118.9382163141851,C4-on-C3,EVEN-on-ODD
114.26995449373439,C4-on-C3,EVEN-on-ODD
147.35923350777833,C4-on-C3,EVEN-on-ODD
108.4354319399334,C4-on-C3,EVEN-on-ODD
145.99793320454933,C4-on-C3,EVEN-on-ODD
126.96065926104848,C4-on-C3,EVEN-on-ODD
181.93297034897208,C4-on-C3,EVEN-on-ODD
145.45202679921698,C4-on-C3,EVEN-on-ODD
167.79664627161063,C4-on-C3,EVEN-on-ODD
204.95349643272792,C4-on-C3,EVEN-on-ODD
145.11651628949738,C4-on-C3,EVEN-on-ODD
130.67389218967884,C4-on-C3,EVEN-on-ODD
139.55249549900498,C4-on-C3,EVEN-on-ODD
165.52543671593196,C4-on-C3,EVEN-on-ODD
165.51863731918544,C4-on-C3,EVEN-on-ODD
129.52772869158196,C4-on-C3,EVEN-on-ODD
36.07873057633705,C4-on-C3,EVEN-on-ODD
126.21527562066414,C4-on-C3,EVEN-on-ODD
124.51071279211301,C4-on-C3,EVEN-on-ODD
140.83946676979414,C4-on-C3,EVEN-on-ODD
140.61330129116527,C4-on-C3,EVEN-on-ODD
145.6359639649493,C4-on-C3,EVEN-on-ODD
150.89320859468805,C4-on-C3,EVEN-on-ODD
172.57955991368158,C4-on-C3,EVEN-on-ODD
112.7576684753635,C4-on-C3,EVEN-on-ODD
168.01213230002176,C4-on-C3,EVEN-on-ODD
110.24650788120192,C4-on-C3,EVEN-on-ODD
104.11766564805455,C4-on-C3,EVEN-on-ODD
321.9038521049423,C4-on-C3,EVEN-on-ODD
136.67863219977008,C4-on-C3,EVEN-on-ODD
145.77361455352622,C4-on-C3,EVEN-on-ODD
139.75451799494735,C4-on-C3,EVEN-on-ODD
134.09852124464203,C4-on-C3,EVEN-on-ODD
129.0799264022102,C4-on-C3,EVEN-on-ODD
144.29629690328213,C4-on-C3,EVEN-on-ODD
128.5289998405027,C4-on-C3,EVEN-on-ODD
131.90208944516385,C4-on-C3,EVEN-on-ODD
127.98478425187956,C4-on-C3,EVEN-on-ODD
134.66795090146732,C4-on-C3,EVEN-on-ODD
139.2241433803791,C4-on-C3,EVEN-on-ODD
168.01662596302725,C4-on-C3,EVEN-on-ODD
188.05122865857572,C4-on-C3,EVEN-on-ODD
144.28985272707155,C4-on-C3,EVEN-on-ODD
144.68185407990876,C4-on-C3,EVEN-on-ODD
115.67350431278567,C4-on-C3,EVEN-on-ODD
155.5691299712121,C4-on-C3,EVEN-on-ODD
174.40805830006823,C4-on-C3,EVEN-on-ODD
143.0555713700104,C4-on-C3,EVEN-on-ODD
156.2495801594364,C4-on-C3,EVEN-on-ODD
139.75055062503355,C4-on-C3,EVEN-on-ODD
112.91652580557016,C4-on-C3,EVEN-on-ODD
123.67731764555697,C4-on-C3,EVEN-on-ODD
132.1299776735015,C4-on-C3,EVEN-on-ODD
150.3541958177408,C4-on-C3,EVEN-on-ODD
217.37267038199704,C4-on-C3,EVEN-on-ODD
141.23838323911795,C4-on-C3,EVEN-on-ODD
153.165649869676,C4-on-C3,EVEN-on-ODD
154.76640979230558,C4-on-C3,EVEN-on-ODD
181.59108265550927,C4-on-C3,EVEN-on-ODD
121.49365827070996,C4-on-C3,EVEN-on-ODD
172.22892846441323,C4-on-C3,EVEN-on-ODD
148.53036625552352,C4-on-C3,EVEN-on-ODD
134.18044007976752,C4-on-C3,EVEN-on-ODD
152.77412117240323,C4-on-C3,EVEN-on-ODD
116.69432976798832,C4-on-C3,EVEN-on-ODD
162.99615946395863,C4-on-C3,EVEN-on-ODD
169.201282501049,C4-on-C3,EVEN-on-ODD
157.23105450260132,C4-on-C3,EVEN-on-ODD
191.38664974339238,C4-on-C3,EVEN-on-ODD
150.4682471486923,C4-on-C3,EVEN-on-ODD
164.28366108654802,C4-on-C3,EVEN-on-ODD
103.72473186275293,C4-on-C3,EVEN-on-ODD
122.08379458388339,C4-on-C3,EVEN-on-ODD
127.42529301516223,C4-on-C3,EVEN-on-ODD
170.8253055024343,C4-on-C3,EVEN-on-ODD
146.59145302506482,C4-on-C3,EVEN-on-ODD
137.29844682297002,C4-on-C3,EVEN-on-ODD
100.03314500704265,C4-on-C3,EVEN-on-ODD
168.08671214584476,C4-on-C3,EVEN-on-ODD
