FISH-QUANT	
RESULTS OF SPOT DETECTION PERFORMED ON 09-May-2021 
COMMENT	Batch detection
FILE	__SUMMARY_OF_MANY_FILES___
FILTERED	__SUMMARY_OF_MANY_FILES___
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
79.7	200	1.45	550	570	1.4	confocal
ANALYSIS-SETTINGS 	_FQ_batch_settings_MATURE_210509.txt
CELL	NO_CELLS_DEFINED
X_POS	0	END
Y_POS	0	END
SPOTS
File	Cell	Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	in_Nuc
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	9656.7	11136.9	1438.25	824.1	242.834	1.54786e+06	95.5413	95.5413	187.305	158.538	163.339	797.359	172.401	138.251	838.251	9	122	141	8	120	124	139	143	4	12	1170	285	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	9609	12224	3095.49	1029.18	74.7141	4.29006e+06	145.006	145.006	326.234	146.889	169.904	673.321	124.701	189.322	695.491	11	122	154	17	120	124	152	156	13	21	1285	475	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	9679.7	7263.97	3832.2	650.71	238.82	2.07568e+06	117.495	117.495	190.137	155.597	160.726	788.573	115.699	170.667	832.201	15	123	92	20	121	125	90	94	16	24	1014	227	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	9707.14	7853.14	2335.23	1481.84	231.928	2.50666e+06	100.336	100.336	241.988	155.581	148.786	753.73	143.137	122.243	735.23	9	123	100	13	121	125	98	102	9	17	1765	546	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	9777.88	6824.41	4078.96	1145.64	257.87	2.19697e+06	101.059	101.059	155.708	155.603	152.155	786.984	134.18	129.609	878.963	10	124	87	21	122	126	85	89	17	25	1276	355	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	9946.77	6247.46	73.9827	3379.11	205.92	1.42427e+06	102.595	102.595	58.8133	155.511	170.261	239.727	143.671	190.258	73.9827	33	126	79	1	124	128	77	81	1	5	1897	680	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	10324.7	4474.86	3320.04	1387.32	199.38	1.68544e+06	103.052	103.052	177.415	149.736	163.227	741.56	123.106	171.058	720.04	8	131	57	18	129	133	55	59	14	22	1344	453	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	10473	6581.07	2990.08	3272.26	349.766	1.14361e+07	127.059	127.059	205.576	170.826	149.233	756.584	191.743	125.37	790.078	11	132	84	16	130	134	82	86	12	20	3354	1386	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	10610.3	11385.1	839.63	1697.03	229.723	3.34279e+06	102.688	102.688	189.904	161.723	153.77	786.051	169.605	147.411	839.63	10	134	144	5	132	136	142	146	1	9	2044	627	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	10715.3	6560.5	-27.5121	1071.68	231.785	709500	91.851	91.851	134.384	165.168	166.109	306.087	194.873	184.5	-27.5121	36	135	83	1	133	137	81	85	1	5	1148	335	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	10721	8677.64	3888.29	1280.75	141.443	5.03847e+06	110.235	110.235	137.836	174.078	147.48	681.985	200.627	149.739	888.288	22	135	110	20	133	137	108	112	16	24	1305	363	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	10834.1	6099.81	3095.61	881.472	204.33	2.81011e+06	136.746	136.746	273.002	160.195	170.86	710.686	154.314	202.015	695.608	11	137	77	17	135	139	75	79	13	21	1214	352	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	10803.4	7337.89	3731.78	920.841	198.639	1.52605e+06	114.584	114.584	198.669	149.213	161.563	764.006	123.592	164.886	731.785	11	137	93	20	135	139	91	95	16	24	1021	335	0	0	1	1	-1
