cell_id,Area,Channel,IntDen,RawIntDen,time,condition,repeat_exp,mock_bg_den,sub_RawIntDen,sm_mean_int,RNA_count
CoV-FISH-06B_R1_26h_INF_00007_9,1033.277,ORFN,5246132.619,451015969,26,Untreated,R1,10672.78214146053,439988028.68721807,5174.7692307692305,7309750.056001697
CoV-FISH-06B_R1_26h_INF_00007_11,531.376,ORFN,8332690.729,716370869,26,Untreated,R1,10672.78214146053,710699608.7167993,5174.7692307692305,11807222.39220534
CoV-FISH-06B_R1_26h_INF_00007_13,1121.621,ORFN,211436.295,18177418,26,Untreated,R1,10672.78214146053,6206601.421712898,5174.7692307692305,103113.49884975645
CoV-FISH-06B_R1_26h_INF_00007_15,467.727,ORFN,216937.7,18650380,26,Untreated,R1,10672.78214146053,13658431.62732109,5174.7692307692305,226914.63140621144
CoV-FISH-06B_R1_26h_INF_00007_17,341.324,ORFN,303427.393,26085997,26,Untreated,R1,10672.78214146053,22443120.308348127,5174.7692307692305,372859.23533029616
CoV-FISH-06B_R1_26h_INF_00008_3,972.629,gRNA,160920.781,13834542,26,Untreated,R1,13147.530461466115,1046872.5947946738,4750.538461538462,18945.394216447923
CoV-FISH-06B_R1_26h_INF_00008_5,1241.126,gRNA,495150.932,42568687,26,Untreated,R1,13147.530461466115,26250945.108482406,4750.538461538462,475066.88598728494
CoV-FISH-06B_R1_26h_INF_00008_7,1004.651,gRNA,1804814.375,155161938,26,Untreated,R1,13147.530461466115,141953258.3743576,4750.538461538462,2568947.218203725
CoV-FISH-06B_R1_26h_INF_00008_9,893.288,gRNA,147296.708,12663265,26,Untreated,R1,13147.530461466115,918733.8091378566,4750.538461538462,16626.449369905764
CoV-FISH-06B_R1_26h_INF_00008_13,835.304,gRNA,136173.044,11706951,26,Untreated,R1,13147.530461466115,724766.2154155094,4750.538461538462,13116.191725797293
CoV-FISH-06B_R1_26h_INF_00008_15,523.304,gRNA,227674.269,19573415,26,Untreated,R1,13147.530461466115,12693259.719392937,4750.538461538462,229711.62916230905
CoV-FISH-06B_R1_26h_INF_00008_1,548.998,ORFN,72913.474,6268454,26,Untreated,R1,10672.78214146053,409117.9499024516,5174.7692307692305,6796.889374771351
CoV-FISH-06B_R1_26h_INF_00008_3,972.629,ORFN,257172.042,22109372,26,Untreated,R1,10672.78214146053,11728714.578533387,5174.7692307692305,194855.2380005992
CoV-FISH-06B_R1_26h_INF_00008_5,1241.126,ORFN,1364114.743,117274491,26,Untreated,R1,10672.78214146053,104028223.59189767,5174.7692307692305,1728275.0066984305
CoV-FISH-06B_R1_26h_INF_00008_7,1004.651,ORFN,8196554.302,704667066,26,Untreated,R1,10672.78214146053,693944644.7487996,5174.7692307692305,11528863.45782975
CoV-FISH-06B_R1_26h_INF_00008_9,893.288,ORFN,262119.761,22534733,26,Untreated,R1,10672.78214146053,13000864.786419006,5174.7692307692305,215990.13133185636
CoV-FISH-06B_R1_26h_INF_00008_13,835.304,ORFN,202269.986,17389380,26,Untreated,R1,10672.78214146053,8474362.386109455,5174.7692307692305,140788.9917170417
CoV-FISH-06B_R1_26h_INF_00008_15,523.304,ORFN,823446.149,70792599,26,Untreated,R1,10672.78214146053,65207489.414245136,5174.7692307692305,1083325.9505256976
CoV-FISH-06B_R1_26h_INF_00009_3,1070.929,gRNA,2040693.514,175440735,26,Untreated,R1,13147.530461466115,161360663.35043254,4750.538461538462,2920165.637539754
CoV-FISH-06B_R1_26h_INF_00009_5,468.657,gRNA,2592357.089,222867878,26,Untreated,R1,13147.530461466115,216706195.81652066,4750.538461538462,3921761.1859406657
CoV-FISH-06B_R1_26h_INF_00009_7,1185.84,gRNA,2051042.092,176330414,26,Untreated,R1,13147.530461466115,160739546.47757503,4750.538461538462,2908925.2019134103
CoV-FISH-06B_R1_26h_INF_00009_9,1174.848,gRNA,740580.87,63668577,26,Untreated,R1,13147.530461466115,48222227.13240746,4750.538461538462,872684.1332566694
CoV-FISH-06B_R1_26h_INF_00009_13,493.875,gRNA,2697615.908,231917098,26,Untreated,R1,13147.530461466115,225423861.39334342,4750.538461538462,4079525.9529441027
CoV-FISH-06B_R1_26h_INF_00009_15,849.506,gRNA,200676.905,17252421,26,Untreated,R1,13147.530461466115,6083514.987801768,4750.538461538462,110094.18933941919
CoV-FISH-06B_R1_26h_INF_00009_17,211.559,gRNA,470361.483,40437510,26,Untreated,R1,13147.530461466115,37656031.60310269,4750.538461538462,681466.2709627287
CoV-FISH-06B_R1_26h_INF_00009_19,494.887,gRNA,109670.393,9428488,26,Untreated,R1,13147.530461466115,2921946.0925164185,4750.538461538462,52878.851616887136
CoV-FISH-06B_R1_26h_INF_00009_2,1323.188,ORFN,2324812.636,199866778,26,Untreated,R1,10672.78214146053,185744680.7438051,5174.7692307692305,3085873.028227893
CoV-FISH-06B_R1_26h_INF_00009_4,551.173,ORFN,79190.744,6808118,26,Untreated,R1,10672.78214146053,925568.6487447759,5174.7692307692305,15376.953555264054
CoV-FISH-06B_R1_26h_INF_00009_6,1484.324,ORFN,375360.27,32270148,26,Untreated,R1,10672.78214146053,16428281.32065874,5174.7692307692305,272931.5855751723
CoV-FISH-06B_R1_26h_INF_00009_8,329.936,ORFN,587377.214,50497485,26,Untreated,R1,10672.78214146053,46976149.95137508,5174.7692307692305,780439.2218632734
CoV-FISH-06B_R1_26h_INF_00009_10,837.63,ORFN,5254030.91,451694994,26,Untreated,R1,10672.78214146053,442755151.49484843,5174.7692307692305,7355721.706999544
CoV-FISH-06B_R1_26h_INF_00009_14,886.251,ORFN,386362.708,33216040,26,Untreated,R1,10672.78214146053,23757276.154348463,5174.7692307692305,394691.99018400785
CoV-FISH-06B_R1_26h_INF_00009_16,548.894,ORFN,1324006.455,113826336,26,Untreated,R1,10672.78214146053,107968109.91924517,5174.7692307692305,1793730.3882639182
CoV-FISH-06B_R1_26h_INF_00009_18,594.095,ORFN,311506.745,26780588,26,Untreated,R1,10672.78214146053,20439941.493669007,5174.7692307692305,339579.38338416186
CoV-FISH-06B_R1_26h_INF_00009_20,260.064,ORFN,41057.409,3529752,26,Untreated,R1,10672.78214146053,754145.5851632087,5174.7692307692305,12529.013004803925
CoV-FISH-06B_R1_26h_INF_00010_1,491.688,gRNA,856812.093,73661107,26,Untreated,R1,13147.530461466115,67196624.04246265,4750.538461538462,1216066.3473558477
CoV-FISH-06B_R1_26h_INF_00010_3,850.669,gRNA,854667.187,73476707,26,Untreated,R1,13147.530461466115,62292510.40987508,4750.538461538462,1127315.9430434196
CoV-FISH-06B_R1_26h_INF_00010_5,677.379,gRNA,3584625.183,308174291,26,Untreated,R1,13147.530461466115,299268429.9635425,4750.538461538462,5415901.0469738925
CoV-FISH-06B_R1_26h_INF_00010_7,1628.651,gRNA,1655288.57,142307035,26,Untreated,R1,13147.530461466115,120894296.36640275,4750.538461538462,2187840.349026243
CoV-FISH-06B_R1_26h_INF_00010_9,342.359,gRNA,552890.836,47532652,26,Untreated,R1,13147.530461466115,43031476.61874292,4750.538461538462,778746.4227371844
CoV-FISH-06B_R1_26h_INF_00010_11,349.117,gRNA,398233.494,34236585,26,Untreated,R1,13147.530461466115,29646558.607884333,4750.538461538462,536517.760403841
CoV-FISH-06B_R1_26h_INF_00010_13,379.965,gRNA,67251.771,5781711,26,Untreated,R1,13147.530461466115,786109.5882090284,4750.538461538462,14226.330997680405
CoV-FISH-06B_R1_26h_INF_00010_15,1105.708,gRNA,1043052.419,89672399,26,Untreated,R1,13147.530461466115,75135069.38851322,4750.538461538462,1359729.460990179
CoV-FISH-06B_R1_26h_INF_00010_17,1223.236,gRNA,808511.194,69508624,26,Untreated,R1,13147.530461466115,53426091.42843804,4750.538461538462,966859.1656602393
CoV-FISH-06B_R1_26h_INF_00010_1,491.688,ORFN,1733039.632,148991382,26,Untreated,R1,10672.78214146053,143743703.09442955,5174.7692307692305,2388088.9325089995
CoV-FISH-06B_R1_26h_INF_00010_3,850.669,ORFN,4097234.731,352243915,26,Untreated,R1,10672.78214146053,343164910.0885059,5174.7692307692305,5701177.207529205
CoV-FISH-06B_R1_26h_INF_00010_5,677.379,ORFN,9564135.255,822239551,26,Untreated,R1,10672.78214146053,815010032.5057997,5174.7692307692305,13540185.737613192
CoV-FISH-06B_R1_26h_INF_00010_7,1628.651,ORFN,5660198.405,486613674,26,Untreated,R1,10672.78214146053,469231436.6925282,5174.7692307692305,7795586.009180452
CoV-FISH-06B_R1_26h_INF_00010_9,342.359,ORFN,1384799.849,119052813,26,Untreated,R1,10672.78214146053,115398889.97883171,5174.7692307692305,1917181.8037916631
CoV-FISH-06B_R1_26h_INF_00010_11,349.117,ORFN,1966658.827,169075889,26,Untreated,R1,10672.78214146053,165349839.31711972,5174.7692307692305,2747042.915723084
CoV-FISH-06B_R1_26h_INF_00010_13,379.965,ORFN,194048.54,16682573,26,Untreated,R1,10672.78214146053,12627289.33361995,5174.7692307692305,209783.7279550045
CoV-FISH-06B_R1_26h_INF_00010_15,1105.708,ORFN,2387381.975,205245935,26,Untreated,R1,10672.78214146053,193444954.40392995,5174.7692307692305,3213801.6811648114
CoV-FISH-06B_R1_26h_INF_00010_17,1223.236,ORFN,1970950.174,169444821,26,Untreated,R1,10672.78214146053,156389489.6644084,5174.7692307692305,2598179.964676152
CoV-FISH-06B_R1_26h_INF_00011_1,679.007,gRNA,288395.801,24793714,26,Untreated,R1,13147.530461466115,15866448.783951279,4750.538461538462,287137.2586517986
CoV-FISH-06B_R1_26h_INF_00011_3,1003.372,gRNA,603691.981,51900084,26,Untreated,R1,13147.530461466115,38708220.06581782,4750.538461538462,700507.8671562426
CoV-FISH-06B_R1_26h_INF_00011_5,967.127,gRNA,523015.099,44964201,26,Untreated,R1,13147.530461466115,32248869.307393663,4750.538461538462,583612.1273029521
CoV-FISH-06B_R1_26h_INF_00011_7,735.119,gRNA,887784.07,76323803,26,Untreated,R1,13147.530461466115,66658803.55469749,4750.538461538462,1206333.3376189831
CoV-FISH-06B_R1_26h_INF_00011_9,673.819,gRNA,383530.106,32972518,26,Untreated,R1,13147.530461466115,24113462.171985365,4750.538461538462,436384.5696631962
CoV-FISH-06B_R1_26h_INF_00011_11,1098.334,gRNA,3681046.373,316463730,26,Untreated,R1,13147.530461466115,302023350.2781361,4750.538461538462,5465757.210612518
CoV-FISH-06B_R1_26h_INF_00011_13,434.239,gRNA,1607405.172,138190445,26,Untreated,R1,13147.530461466115,132481274.51994342,4750.538461538462,2397531.4518287317
CoV-FISH-06B_R1_26h_INF_00011_15,225.622,gRNA,1711482.943,147138129,26,Untreated,R1,13147.530461466115,144171756.8822231,4750.538461538462,2609095.684224422
CoV-FISH-06B_R1_26h_INF_00011_17,1587.835,gRNA,3668391.381,315375766,26,Untreated,R1,13147.530461466115,294499656.969718,4750.538461538462,5329599.920412759
CoV-FISH-06B_R1_26h_INF_00011_19,162.159,gRNA,1433899.562,123273971,26,Untreated,R1,13147.530461466115,121141980.60789911,4750.538461538462,2192322.7240732955
CoV-FISH-06B_R1_26h_INF_00011_1,679.007,ORFN,330896.881,28447580,26,Untreated,R1,10672.78214146053,21200686.21647331,5174.7692307692305,352218.03129627334
CoV-FISH-06B_R1_26h_INF_00011_3,1003.372,ORFN,1110578.259,95477672,26,Untreated,R1,10672.78214146053,84768901.23715846,5174.7692307692305,1408309.86337134
CoV-FISH-06B_R1_26h_INF_00011_5,967.127,ORFN,1116815.852,96013925,26,Untreated,R1,10672.78214146053,85691989.2258757,5174.7692307692305,1423645.604430825
CoV-FISH-06B_R1_26h_INF_00011_7,735.119,ORFN,3648199.29,313639829,26,Untreated,R1,10672.78214146053,305794064.06495166,5174.7692307692305,5080315.897669111
CoV-FISH-06B_R1_26h_INF_00011_9,673.819,ORFN,1287547.136,110691887,26,Untreated,R1,10672.78214146053,103500363.6102232,5174.7692307692305,1719505.3941657473
CoV-FISH-06B_R1_26h_INF_00011_11,1098.334,ORFN,13526565.971,1162894212,26,Untreated,R1,10672.78214146053,1151171932.4994411,5174.7692307692305,19125018.294616673
CoV-FISH-06B_R1_26h_INF_00011_13,434.239,ORFN,2923071.665,251299785,26,Untreated,R1,10672.78214146053,246665246.75567433,5174.7692307692305,4097978.0896896543
CoV-FISH-06B_R1_26h_INF_00011_15,225.622,ORFN,4328291.67,372108142,26,Untreated,R1,10672.78214146053,369700127.54767936,5174.7692307692305,6142020.582034055
CoV-FISH-06B_R1_26h_INF_00011_17,1587.835,ORFN,5551977.975,477309841,26,Untreated,R1,10672.78214146053,460363223.968414,5174.7692307692305,7648253.776869169
CoV-FISH-06B_R1_26h_INF_00011_19,162.159,ORFN,2854979.1,245445790,26,Untreated,R1,10672.78214146053,243715102.3207229,5174.7692307692305,4048965.8051669556
