cell_id,Area,Channel,IntDen,RawIntDen,time,condition,repeat_exp,mock_bg_den,sub_RawIntDen,sm_mean_int,RNA_count,ImgeJ_cal_factor
CoV-FISH-06B_R1_24h_INF_00002_39,274.534,gRNA,610003.762,52442715,24,Untreated,R1,14383.340982982052,48493998.866578005,5186.933333333333,327224.171057445,35
CoV-FISH-06B_R1_24h_INF_00002_1,217.038,ORFN,1457537.554,125306156,24,Untreated,R1,11068.976472595466,122903767.48434085,5448.466666666666,789512.3757054455,35
CoV-FISH-06B_R1_24h_INF_00002_3,551.732,ORFN,3240405.516,278581336,24,Untreated,R1,11068.976472595466,272474227.47282195,5448.466666666666,1750326.9350793683,35
CoV-FISH-06B_R1_24h_INF_00002_5,282.211,ORFN,48703.499,4187095,24,Untreated,R1,11068.976472595466,1063308.0806923606,5448.466666666666,6830.505736947268,35
CoV-FISH-06B_R1_24h_INF_00002_7,271.963,ORFN,2793280.891,240141525,24,Untreated,R1,11068.976472595466,237131172.9515835,5448.466666666666,1523289.314419731,35
CoV-FISH-06B_R1_24h_INF_00002_9,1019.621,ORFN,136232.843,11712092,24,Untreated,R1,11068.976472595466,425931.1400357373,5448.466666666666,2736.1073882408764,35
CoV-FISH-06B_R1_24h_INF_00002_13,476.206,ORFN,309062.506,26570454,24,Untreated,R1,11068.976472595466,21299340.9898912,5448.466666666666,136823.2532662753,35
CoV-FISH-06B_R1_24h_INF_00002_15,1001.685,ORFN,5054069.339,434504071,24,Untreated,R1,11068.976472595466,423416443.3020482,5448.466666666666,2719953.4148271116,35
CoV-FISH-06B_R1_24h_INF_00002_17,498.993,ORFN,124786.048,10727998,24,Untreated,R1,11068.976472595466,5204656.22301017,5448.466666666666,33433.80421501266,35
CoV-FISH-06B_R1_24h_INF_00002_19,338.009,ORFN,696052.505,59840423,24,Untreated,R1,11068.976472595466,56099009.33147448,5448.466666666666,360370.2558398584,35
CoV-FISH-06B_R1_24h_INF_00002_21,463.528,ORFN,173258.271,14895210,24,Untreated,R1,11068.976472595466,9764429.473610768,5448.466666666666,62724.99264191337,35
CoV-FISH-06B_R1_24h_INF_00002_23,710.029,ORFN,708723.142,60929732,24,Untreated,R1,11068.976472595466,53070437.70413952,5448.466666666666,340915.2396964681,35
