Label,data_type,p_NCed_4000,p_NCed_stringent,count
06h_INF_100x_05_random_coord_sg2_3_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,sgRNA Random,2.5510965239445027,4.057884529315232,26812
06h_INF_100x_05_random_coord_sg2_4_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,sgRNA Random,2.6106739268265393,4.106217133480029,26813
06h_INF_100x_05_random_coord_sg2_5_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,sgRNA Random,2.502517435572297,4.012978778950509,26813
06h_INF_100x_05_random_coord_sg2_6_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,sgRNA Random,2.4690437117708486,3.8788602118454425,26812
06h_INF_100x_05_random_coord_sg2_7_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,sgRNA Random,2.6817351087240313,4.069225317966507,26811
06h_INF_100x_05_random_coord_sg2_8_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,sgRNA Random,2.7266962587190866,4.211272333917714,26809
06h_INF_100x_05_random_coord_sg2_9_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,sgRNA Random,2.5961430862769963,4.0284978924987875,26809
06h_INF_100x_06_bfspots_ch3_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,gRNA Observed,74.75903614457832,80.24096385542168,3320
06h_INF_100x_06_bfspots_sg2_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,sgRNA Observed,15.59018822367338,24.342863414366462,18223
06h_INF_100x_06_random_coord_ch3_0_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,gRNA Random,1.1144578313253013,2.2289156626506026,3320
06h_INF_100x_06_random_coord_ch3_1_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,gRNA Random,1.2349397590361446,2.680722891566265,3320
06h_INF_100x_06_random_coord_ch3_2_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,gRNA Random,1.4759036144578312,2.7409638554216866,3320
06h_INF_100x_06_random_coord_ch3_3_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,gRNA Random,1.3253012048192772,2.6506024096385543,3320
06h_INF_100x_06_random_coord_ch3_4_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,gRNA Random,1.2650602409638554,2.6204819277108435,3320
06h_INF_100x_06_random_coord_ch3_5_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,gRNA Random,1.4759036144578312,2.8313253012048194,3320
06h_INF_100x_06_random_coord_ch3_6_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,gRNA Random,1.1746987951807228,2.6506024096385543,3320
06h_INF_100x_06_random_coord_ch3_7_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,gRNA Random,1.7771084337349399,3.0120481927710845,3320
06h_INF_100x_06_random_coord_ch3_8_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,gRNA Random,1.2349397590361446,2.891566265060241,3320
06h_INF_100x_06_random_coord_ch3_9_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,gRNA Random,1.2349397590361446,2.2590361445783134,3320
06h_INF_100x_06_random_coord_sg2_0_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,sgRNA Random,1.3062568605927551,2.469813391877058,18220
06h_INF_100x_06_random_coord_sg2_1_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,sgRNA Random,1.3116013609922073,2.5189331577214356,18222
06h_INF_100x_06_random_coord_sg2_2_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,sgRNA Random,1.41602634467618,2.535675082327113,18220
06h_INF_100x_06_random_coord_sg2_3_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,sgRNA Random,1.3832473377977823,2.788450982544736,18218
06h_INF_100x_06_random_coord_sg2_4_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,sgRNA Random,1.5202239174578782,2.650787552823665,18221
06h_INF_100x_06_random_coord_sg2_5_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,sgRNA Random,1.1744690192634872,2.4696778442456506,18221
06h_INF_100x_06_random_coord_sg2_6_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,sgRNA Random,1.1524530786960816,2.409175721655142,18222
06h_INF_100x_06_random_coord_sg2_7_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,sgRNA Random,1.4433102842717593,2.5518603885413236,18222
06h_INF_100x_06_random_coord_sg2_8_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,sgRNA Random,1.3721185510428102,2.491767288693743,18220
06h_INF_100x_06_random_coord_sg2_9_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,sgRNA Random,1.366480079025354,2.7055207990341343,18222
06h_INF_100x_07_bfspots_ch3_ellipse.tif:DUP_06h_INF_100x_07_N_bgs.tif,gRNA Observed,81.10395584176632,85.86936522539098,5435
06h_INF_100x_07_bfspots_sg2_ellipse.tif:DUP_06h_INF_100x_07_N_bgs.tif,sgRNA Observed,21.375455151546234,31.52469357402944,19499
06h_INF_100x_07_random_coord_ch3_0_ellipse.tif:DUP_06h_INF_100x_07_N_bgs.tif,gRNA Random,2.02391904323827,3.1830726770929165,5435
06h_INF_100x_07_random_coord_ch3_1_ellipse.tif:DUP_06h_INF_100x_07_N_bgs.tif,gRNA Random,1.8215271389144434,2.980680772769089,5435
06h_INF_100x_07_random_coord_ch3_2_ellipse.tif:DUP_06h_INF_100x_07_N_bgs.tif,gRNA Random,1.6191352345906165,2.9622815087396503,5435
06h_INF_100x_07_random_coord_ch3_3_ellipse.tif:DUP_06h_INF_100x_07_N_bgs.tif,gRNA Random,1.6559337626494939,2.9438822447102115,5435
06h_INF_100x_07_random_coord_ch3_4_ellipse.tif:DUP_06h_INF_100x_07_N_bgs.tif,gRNA Random,1.8215271389144434,3.3486660533578654,5435
06h_INF_100x_07_random_coord_ch3_5_ellipse.tif:DUP_06h_INF_100x_07_N_bgs.tif,gRNA Random,2.060717571297148,3.1830726770929165,5435
06h_INF_100x_07_random_coord_ch3_6_ellipse.tif:DUP_06h_INF_100x_07_N_bgs.tif,gRNA Random,1.7111315547378108,3.238270469181233,5435
06h_INF_100x_07_random_coord_ch3_7_ellipse.tif:DUP_06h_INF_100x_07_N_bgs.tif,gRNA Random,1.87672493100276,2.888684452621895,5435
06h_INF_100x_07_random_coord_ch3_8_ellipse.tif:DUP_06h_INF_100x_07_N_bgs.tif,gRNA Random,1.637534498620055,2.81508739650414,5435
06h_INF_100x_07_random_coord_ch3_9_ellipse.tif:DUP_06h_INF_100x_07_N_bgs.tif,gRNA Random,1.6194331983805668,3.05483989694516,5434
06h_INF_100x_07_random_coord_sg2_0_ellipse.tif:DUP_06h_INF_100x_07_N_bgs.tif,sgRNA Random,1.5848592091090938,2.820946812330102,19497
06h_INF_100x_07_random_coord_sg2_1_ellipse.tif:DUP_06h_INF_100x_07_N_bgs.tif,sgRNA Random,1.7335111293465995,2.9592778746538104,19498
06h_INF_100x_07_random_coord_sg2_2_ellipse.tif:DUP_06h_INF_100x_07_N_bgs.tif,sgRNA Random,1.753936099287143,3.0411815990563618,19499
06h_INF_100x_07_random_coord_sg2_3_ellipse.tif:DUP_06h_INF_100x_07_N_bgs.tif,sgRNA Random,1.8413089193209213,3.128686464584295,19497
06h_INF_100x_07_random_coord_sg2_4_ellipse.tif:DUP_06h_INF_100x_07_N_bgs.tif,sgRNA Random,1.7387290352361904,2.979945632661435,19497
06h_INF_100x_07_random_coord_sg2_5_ellipse.tif:DUP_06h_INF_100x_07_N_bgs.tif,sgRNA Random,1.8412144835367732,2.8874756385270284,19498
06h_INF_100x_07_random_coord_sg2_6_ellipse.tif:DUP_06h_INF_100x_07_N_bgs.tif,sgRNA Random,1.7542059909725072,2.872384078785392,19496
06h_INF_100x_07_random_coord_sg2_7_ellipse.tif:DUP_06h_INF_100x_07_N_bgs.tif,sgRNA Random,1.6771811047853518,2.856849771759758,19497
06h_INF_100x_07_random_coord_sg2_8_ellipse.tif:DUP_06h_INF_100x_07_N_bgs.tif,sgRNA Random,1.7334222267808606,2.9386122365249503,19499
06h_INF_100x_07_random_coord_sg2_9_ellipse.tif:DUP_06h_INF_100x_07_N_bgs.tif,sgRNA Random,1.8465326220763234,3.128846942962659,19496
06h_INF_100x_08_bfspots_ch3_ellipse.tif:DUP_06h_INF_100x_08_N_bgs.tif,gRNA Observed,78.4634448574969,84.1635687732342,4035
06h_INF_100x_08_bfspots_sg2_ellipse.tif:DUP_06h_INF_100x_08_N_bgs.tif,sgRNA Observed,18.55284263054714,28.830273866809243,16833
06h_INF_100x_08_random_coord_ch3_0_ellipse.tif:DUP_06h_INF_100x_08_N_bgs.tif,gRNA Random,2.1561338289962824,4.039653035935563,4035
06h_INF_100x_08_random_coord_ch3_1_ellipse.tif:DUP_06h_INF_100x_08_N_bgs.tif,gRNA Random,1.8339529120198266,3.420074349442379,4035
06h_INF_100x_08_random_coord_ch3_2_ellipse.tif:DUP_06h_INF_100x_08_N_bgs.tif,gRNA Random,1.685254027261462,3.543990086741016,4035
06h_INF_100x_08_random_coord_ch3_3_ellipse.tif:DUP_06h_INF_100x_08_N_bgs.tif,gRNA Random,1.809169764560099,3.2961586121437425,4035
06h_INF_100x_08_random_coord_ch3_4_ellipse.tif:DUP_06h_INF_100x_08_N_bgs.tif,gRNA Random,1.9578686493184634,3.593556381660471,4035
06h_INF_100x_08_random_coord_ch3_5_ellipse.tif:DUP_06h_INF_100x_08_N_bgs.tif,gRNA Random,1.734820322180917,3.147459727385378,4035
06h_INF_100x_08_random_coord_ch3_6_ellipse.tif:DUP_06h_INF_100x_08_N_bgs.tif,gRNA Random,1.7100371747211895,3.32094175960347,4035
06h_INF_100x_08_random_coord_ch3_7_ellipse.tif:DUP_06h_INF_100x_08_N_bgs.tif,gRNA Random,2.2304832713754648,3.667905824039653,4035
06h_INF_100x_08_random_coord_ch3_8_ellipse.tif:DUP_06h_INF_100x_08_N_bgs.tif,gRNA Random,2.4287484510532837,3.841387856257745,4035
06h_INF_100x_08_random_coord_ch3_9_ellipse.tif:DUP_06h_INF_100x_08_N_bgs.tif,gRNA Random,1.858736059479554,3.0978934324659235,4035
06h_INF_100x_08_random_coord_sg2_0_ellipse.tif:DUP_06h_INF_100x_08_N_bgs.tif,sgRNA Random,1.8120247148288975,3.3091730038022815,16832
06h_INF_100x_08_random_coord_sg2_1_ellipse.tif:DUP_06h_INF_100x_08_N_bgs.tif,sgRNA Random,1.6756788876344404,3.0542515895180937,16829
06h_INF_100x_08_random_coord_sg2_2_ellipse.tif:DUP_06h_INF_100x_08_N_bgs.tif,sgRNA Random,1.610124175628305,2.917236052522132,16831
06h_INF_100x_08_random_coord_sg2_3_ellipse.tif:DUP_06h_INF_100x_08_N_bgs.tif,sgRNA Random,1.7231134878193701,3.2144979203802735,16830
06h_INF_100x_08_random_coord_sg2_4_ellipse.tif:DUP_06h_INF_100x_08_N_bgs.tif,sgRNA Random,1.7527181985621771,2.917236052522132,16831
06h_INF_100x_08_random_coord_sg2_5_ellipse.tif:DUP_06h_INF_100x_08_N_bgs.tif,sgRNA Random,1.598621263445653,2.7990729185238012,16827
06h_INF_100x_08_random_coord_sg2_6_ellipse.tif:DUP_06h_INF_100x_08_N_bgs.tif,sgRNA Random,1.788366704295645,3.1014199988117164,16831
06h_INF_100x_08_random_coord_sg2_7_ellipse.tif:DUP_06h_INF_100x_08_N_bgs.tif,sgRNA Random,1.4913844325609031,2.9292929292929295,16830
06h_INF_100x_08_random_coord_sg2_8_ellipse.tif:DUP_06h_INF_100x_08_N_bgs.tif,sgRNA Random,1.8774879686293149,3.178658427900897,16831
06h_INF_100x_08_random_coord_sg2_9_ellipse.tif:DUP_06h_INF_100x_08_N_bgs.tif,sgRNA Random,1.6517140989840176,2.9588259758778443,16831
