cell_id,time.adj,dsRNA_density,condition,repeat_exp
INF_4h_218_C4_outline_TS_detect_AUTO_350.txt_Cell_9,6,0.508277253,INF,R2
INF_4h_219_C4_outline_TS_detect_AUTO_350.txt_Cell_1,6,1.169811781,INF,R2
INF_4h_219_C4_outline_TS_detect_AUTO_350.txt_Cell_10,6,0.97267155,INF,R2
INF_4h_219_C4_outline_TS_detect_AUTO_350.txt_Cell_11,6,1.211312677,INF,R2
INF_4h_219_C4_outline_TS_detect_AUTO_350.txt_Cell_12,6,1.898178507,INF,R2
INF_4h_219_C4_outline_TS_detect_AUTO_350.txt_Cell_13,6,2.218334201,INF,R2
INF_4h_219_C4_outline_TS_detect_AUTO_350.txt_Cell_14,6,1.410766504,INF,R2
INF_4h_219_C4_outline_TS_detect_AUTO_350.txt_Cell_15,6,1.180624467,INF,R2
INF_4h_219_C4_outline_TS_detect_AUTO_350.txt_Cell_16,6,1.411638927,INF,R2
INF_4h_219_C4_outline_TS_detect_AUTO_350.txt_Cell_17,6,0.784200533,INF,R2
INF_4h_219_C4_outline_TS_detect_AUTO_350.txt_Cell_2,6,1.190786705,INF,R2
INF_4h_219_C4_outline_TS_detect_AUTO_350.txt_Cell_3,6,1.200724526,INF,R2
INF_4h_219_C4_outline_TS_detect_AUTO_350.txt_Cell_4,6,1.2972013,INF,R2
INF_4h_219_C4_outline_TS_detect_AUTO_350.txt_Cell_5,6,0.914380432,INF,R2
INF_4h_219_C4_outline_TS_detect_AUTO_350.txt_Cell_6,6,1.576878955,INF,R2
INF_4h_219_C4_outline_TS_detect_AUTO_350.txt_Cell_7,6,1.000118726,INF,R2
INF_4h_219_C4_outline_TS_detect_AUTO_350.txt_Cell_8,6,0.908563528,INF,R2
INF_4h_219_C4_outline_TS_detect_AUTO_350.txt_Cell_9,6,0.540520939,INF,R2
INF_4h_220_C4_outline_TS_detect_AUTO_350.txt_Cell_1,6,0.61167863,INF,R2
INF_4h_220_C4_outline_TS_detect_AUTO_350.txt_Cell_2,6,0.728458331,INF,R2
INF_4h_220_C4_outline_TS_detect_AUTO_350.txt_Cell_3,6,0.99108241,INF,R2
INF_4h_220_C4_outline_TS_detect_AUTO_350.txt_Cell_4,6,0.766380985,INF,R2
INF_4h_220_C4_outline_TS_detect_AUTO_350.txt_Cell_5,6,0.40520026,INF,R2
INF_4h_220_C4_outline_TS_detect_AUTO_350.txt_Cell_6,6,0.6898185,INF,R2
INF_4h_220_C4_outline_TS_detect_AUTO_350.txt_Cell_7,6,0.75846284,INF,R2
INF_4h_221_C4_outline_TS_detect_AUTO_350.txt_Cell_1,6,0.692514517,INF,R3
INF_4h_221_C4_outline_TS_detect_AUTO_350.txt_Cell_10,6,0.55989008,INF,R3
INF_4h_221_C4_outline_TS_detect_AUTO_350.txt_Cell_11,6,0.794245171,INF,R3
INF_4h_221_C4_outline_TS_detect_AUTO_350.txt_Cell_13,6,2.139363089,INF,R3
INF_4h_221_C4_outline_TS_detect_AUTO_350.txt_Cell_14,6,1.05991653,INF,R3
INF_4h_221_C4_outline_TS_detect_AUTO_350.txt_Cell_15,6,1.966591981,INF,R3
INF_4h_221_C4_outline_TS_detect_AUTO_350.txt_Cell_2,6,0.411793879,INF,R3
INF_4h_221_C4_outline_TS_detect_AUTO_350.txt_Cell_3,6,1.247092851,INF,R3
INF_4h_221_C4_outline_TS_detect_AUTO_350.txt_Cell_4,6,0.805579881,INF,R3
