cell_id,condition,total_count,time.adj,repeat_exp
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_10,INF,51.22887,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_11,INF,38.76725,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_12,INF,181.70408,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_13,INF,44.82412,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_14,INF,148.11561,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_15,INF,155.71595,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_2,INF,42.93634,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_3,INF,18.35546,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_4,INF,47.16336,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_5,INF,25.74025,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_6,INF,40.13614,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_7,INF,32.81196,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_8,INF,45.43771,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_9,INF,85.92216,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_1,INF,40.63546,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_10,INF,83.12497,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_13,INF,102.86687,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_14,INF,132.32273,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_16,INF,55.70358,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_17,INF,25.96417,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_18,INF,39.83677,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_19,INF,57.800325,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_2,INF,30.23723,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_3,INF,44.66057,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_4,INF,63.22179,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_5,INF,26.25095,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_6,INF,116.69561,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_7,INF,46.77286,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_8,INF,32.01055,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_9,INF,46.08779,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_1,INF,16.63716,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_10,INF,11.75833,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_11,INF,35.09408,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_12,INF,62.94478,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_13,INF,7,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_14,INF,12.26497,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_15,INF,19.14712,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_16,INF,31.54297,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_17,INF,26.97111,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_2,INF,57.847805,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_3,INF,8.44723,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_4,INF,31.79374,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_5,INF,28.16662,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_6,INF,15.14031,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_8,INF,37.82235,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_9,INF,7,2,R3
INF_0h_204_C4_outline_TS_detect_AUTO_350.txt_Cell_1,INF,14.10817,2,R4
INF_0h_204_C4_outline_TS_detect_AUTO_350.txt_Cell_10,INF,15.30567,2,R4
INF_0h_204_C4_outline_TS_detect_AUTO_350.txt_Cell_11,INF,24.3364,2,R4
INF_0h_204_C4_outline_TS_detect_AUTO_350.txt_Cell_12,INF,24.2281,2,R4
INF_0h_204_C4_outline_TS_detect_AUTO_350.txt_Cell_13,INF,58.08591,2,R4
INF_0h_204_C4_outline_TS_detect_AUTO_350.txt_Cell_14,INF,24.23225,2,R4
INF_0h_204_C4_outline_TS_detect_AUTO_350.txt_Cell_15,INF,28.103355,2,R4
INF_0h_204_C4_outline_TS_detect_AUTO_350.txt_Cell_16,INF,26.15371,2,R4
INF_0h_204_C4_outline_TS_detect_AUTO_350.txt_Cell_17,INF,23.39656,2,R4
INF_0h_204_C4_outline_TS_detect_AUTO_350.txt_Cell_2,INF,27.50045,2,R4
INF_0h_204_C4_outline_TS_detect_AUTO_350.txt_Cell_3,INF,19.75893,2,R4
INF_0h_204_C4_outline_TS_detect_AUTO_350.txt_Cell_4,INF,38.16183,2,R4
INF_0h_204_C4_outline_TS_detect_AUTO_350.txt_Cell_5,INF,47.52317,2,R4
INF_0h_204_C4_outline_TS_detect_AUTO_350.txt_Cell_6,INF,32.45337,2,R4
INF_0h_204_C4_outline_TS_detect_AUTO_350.txt_Cell_7,INF,6,2,R4
INF_0h_204_C4_outline_TS_detect_AUTO_350.txt_Cell_8,INF,26.52922,2,R4
INF_0h_204_C4_outline_TS_detect_AUTO_350.txt_Cell_9,INF,13,2,R4
INF_0h_205_C4_outline_TS_detect_AUTO_350.txt_Cell_1,INF,37.919,2,R4
INF_0h_205_C4_outline_TS_detect_AUTO_350.txt_Cell_10,INF,55.973205,2,R4
INF_0h_205_C4_outline_TS_detect_AUTO_350.txt_Cell_11,INF,124.03839,2,R4
INF_0h_205_C4_outline_TS_detect_AUTO_350.txt_Cell_12,INF,47.19163,2,R4
INF_0h_205_C4_outline_TS_detect_AUTO_350.txt_Cell_13,INF,56.379535,2,R4
INF_0h_205_C4_outline_TS_detect_AUTO_350.txt_Cell_14,INF,45.73064,2,R4
INF_0h_205_C4_outline_TS_detect_AUTO_350.txt_Cell_15,INF,40.76493,2,R4
