cell_id,total_count,condition,time.adj
INF_6h_192_C4_outline_TS_detect_AUTO_350.txt_Cell_4,48.212,INF,8
MOCK_6h_Cell_14,0,MOCK,8
INF_6h_198_C4_outline_TS_detect_AUTO_350.txt_Cell_8,48.90588,INF,8
MOCK_6h_Cell_11,0,MOCK,8
MOCK_6h_Cell_25,0,MOCK,8
MOCK_6h_Cell_75,0,MOCK,8
INF_6h_194_C4_outline_TS_detect_AUTO_350.txt_Cell_3,50.1662,INF,8
MOCK_6h_Cell_12,0,MOCK,8
INF_6h_192_C4_outline_TS_detect_AUTO_350.txt_Cell_6,51.01407,INF,8
MOCK_6h_Cell_21,0,MOCK,8
INF_6h_192_C4_outline_TS_detect_AUTO_350.txt_Cell_10,52.83978,INF,8
MOCK_6h_Cell_53,0,MOCK,8
MOCK_6h_Cell_08,0,MOCK,8
MOCK_6h_Cell_70,0,MOCK,8
MOCK_6h_Cell_66,0,MOCK,8
MOCK_6h_Cell_18,0,MOCK,8
MOCK_6h_Cell_02,0,MOCK,8
MOCK_6h_Cell_17,0,MOCK,8
MOCK_6h_Cell_45,0,MOCK,8
MOCK_6h_Cell_74,0,MOCK,8
MOCK_6h_Cell_34,0,MOCK,8
MOCK_6h_Cell_32,0,MOCK,8
INF_6h_198_C4_outline_TS_detect_AUTO_350.txt_Cell_7,114.48808,INF,8
MOCK_6h_Cell_39,0,MOCK,8
MOCK_6h_Cell_29,0,MOCK,8
MOCK_6h_Cell_24,0,MOCK,8
MOCK_6h_Cell_09,0,MOCK,8
MOCK_6h_Cell_05,0,MOCK,8
MOCK_6h_Cell_55,0,MOCK,8
MOCK_6h_Cell_15,0,MOCK,8
MOCK_6h_Cell_06,0,MOCK,8
MOCK_6h_Cell_35,0,MOCK,8
MOCK_6h_Cell_61,0,MOCK,8
MOCK_6h_Cell_69,0,MOCK,8
6h_1_outline_TS_detect_AUTO_275.txt_Cell_1,95.73770400000001,INF,8
6h_1_outline_TS_detect_AUTO_275.txt_Cell_2,174.911988,INF,8
6h_11_outline_TS_detect_AUTO_195.txt_Cell_1,97.853508,INF,8
6h_11_outline_TS_detect_AUTO_195.txt_Cell_2,162.3015,INF,8
6h_11_outline_TS_detect_AUTO_195.txt_Cell_3,121.012932,INF,8
6h_11_outline_TS_detect_AUTO_195.txt_Cell_4,140.051688,INF,8
6h_12_outline_TS_detect_AUTO_195.txt_Cell_1,52.803756,INF,8
6h_12_outline_TS_detect_AUTO_195.txt_Cell_2,47.284356,INF,8
6h_12_outline_TS_detect_AUTO_195.txt_Cell_3,31.5,INF,8
6h_13_outline_TS_detect_AUTO_195.txt_Cell_1,104.780424,INF,8
6h_13_outline_TS_detect_AUTO_195.txt_Cell_2,136.691376,INF,8
6h_13_outline_TS_detect_AUTO_195.txt_Cell_3,141.834012,INF,8
6h_14_outline_TS_detect_AUTO_195.txt_Cell_1,3987.376272,INF,8
6h_14_outline_TS_detect_AUTO_195.txt_Cell_2,5108.0562119999995,INF,8
6h_14_outline_TS_detect_AUTO_195.txt_Cell_3,99.2325,INF,8
6h_14_outline_TS_detect_AUTO_195.txt_Cell_4,69.44304,INF,8
6h_14_outline_TS_detect_AUTO_195.txt_Cell_5,111.484452,INF,8
6h_15_outline_TS_detect_AUTO_195.txt_Cell_1,200.433936,INF,8
6h_15_outline_TS_detect_AUTO_195.txt_Cell_2,87.043056000000007,INF,8
6h_15_outline_TS_detect_AUTO_195.txt_Cell_3,49.169532000000004,INF,8
6h_16_outline_TS_detect_AUTO_195.txt_Cell_2,2823.868344,INF,8
6h_16_outline_TS_detect_AUTO_195.txt_Cell_3,2749.098552,INF,8
6h_16_outline_TS_detect_AUTO_195.txt_Cell_4,192.330924,INF,8
6h_17_outline_TS_detect_AUTO_195.txt_Cell_1,1107.48426,INF,8
6h_17_outline_TS_detect_AUTO_195.txt_Cell_2,185.202408,INF,8
6h_17_outline_TS_detect_AUTO_195.txt_Cell_3,115.40829600000001,INF,8
6h_17_outline_TS_detect_AUTO_195.txt_Cell_4,188.75934,INF,8
6h_18_outline_TS_detect_AUTO_195.txt_Cell_1,174.539148,INF,8
6h_18_outline_TS_detect_AUTO_195.txt_Cell_2,51,INF,8
6h_18_outline_TS_detect_AUTO_195.txt_Cell_3,168.082968,INF,8
6h_19_outline_TS_detect_AUTO_195.txt_Cell_1,220.229388,INF,8
6h_19_outline_TS_detect_AUTO_195.txt_Cell_2,191.23572000000001,INF,8
6h_19_outline_TS_detect_AUTO_195.txt_Cell_3,164.045148,INF,8
6h_2_outline_TS_detect_AUTO_275.txt_Cell_1,133.368876,INF,8
6h_2_outline_TS_detect_AUTO_275.txt_Cell_2,200.73366,INF,8
6h_2_outline_TS_detect_AUTO_275.txt_Cell_3,105.849744,INF,8
6h_2_outline_TS_detect_AUTO_275.txt_Cell_4,85.318644,INF,8
6h_2_outline_TS_detect_AUTO_275.txt_Cell_5,104.647728,INF,8
6h_20_outline_TS_detect_AUTO_195.txt_Cell_1,92.79252,INF,8
6h_20_outline_TS_detect_AUTO_195.txt_Cell_2,62.912136,INF,8
6h_20_outline_TS_detect_AUTO_195.txt_Cell_3,81.00342,INF,8
6h_21_outline_TS_detect_AUTO_195.txt_Cell_1,163.575312,INF,8
6h_21_outline_TS_detect_AUTO_195.txt_Cell_2,191.100756,INF,8
6h_21_outline_TS_detect_AUTO_195.txt_Cell_3,94.354716,INF,8
6h_23_outline_TS_detect_AUTO_195.txt_Cell_1,186.763608,INF,8
6h_23_outline_TS_detect_AUTO_195.txt_Cell_2,36,INF,8
6h_25_outline_TS_detect_AUTO_195.txt_Cell_1,69.403536,INF,8
6h_25_outline_TS_detect_AUTO_195.txt_Cell_2,3074.4293040000002,INF,8
6h_26_outline_TS_detect_AUTO_195.txt_Cell_1,67.443144,INF,8
6h_27_outline_TS_detect_AUTO_195.txt_Cell_1,88.197828,INF,8
6h_27_outline_TS_detect_AUTO_195.txt_Cell_2,47.005668,INF,8
6h_28_outline_TS_detect_AUTO_195.txt_Cell_1,46.462188,INF,8
6h_28_outline_TS_detect_AUTO_195.txt_Cell_2,65.62068,INF,8
6h_3_outline_TS_detect_AUTO_275.txt_Cell_1,228.584184,INF,8
6h_3_outline_TS_detect_AUTO_275.txt_Cell_2,163.355952,INF,8
6h_3_outline_TS_detect_AUTO_275.txt_Cell_3,201.473784,INF,8
6h_3_outline_TS_detect_AUTO_275.txt_Cell_4,119.80073999999999,INF,8
6h_3_outline_TS_detect_AUTO_275.txt_Cell_5,93.497652,INF,8
6h_31_outline_TS_detect_AUTO_195.txt_Cell_1,420.50106,INF,8
6h_31_outline_TS_detect_AUTO_195.txt_Cell_2,102.154464,INF,8
6h_33_outline_TS_detect_AUTO_195.txt_Cell_1,45.9777,INF,8
6h_33_outline_TS_detect_AUTO_195.txt_Cell_2,86.480964,INF,8
6h_34_outline_TS_detect_AUTO_195.txt_Cell_1,186.176076,INF,8
6h_4_outline_TS_detect_AUTO_275.txt_Cell_1,52.58256,INF,8
6h_4_outline_TS_detect_AUTO_275.txt_Cell_2,81.188292,INF,8
6h_4_outline_TS_detect_AUTO_275.txt_Cell_3,49.39416,INF,8
6h_4_outline_TS_detect_AUTO_275.txt_Cell_4,123.642204,INF,8
6h_5_outline_TS_detect_AUTO_275.txt_Cell_1,135.758664,INF,8
6h_5_outline_TS_detect_AUTO_275.txt_Cell_2,124.154184,INF,8
6h_5_outline_TS_detect_AUTO_275.txt_Cell_3,121.234416,INF,8
6h_5_outline_TS_detect_AUTO_275.txt_Cell_4,53.734104,INF,8
6h_5_outline_TS_detect_AUTO_275.txt_Cell_5,157.978812,INF,8
6h_5_outline_TS_detect_AUTO_275.txt_Cell_6,130.8084,INF,8
6h_6_outline_TS_detect_AUTO_275.txt_Cell_1,124.34868,INF,8
6h_6_outline_TS_detect_AUTO_275.txt_Cell_2,70.390884,INF,8
6h_6_outline_TS_detect_AUTO_275.txt_Cell_3,270.711276,INF,8
6h_6_outline_TS_detect_AUTO_275.txt_Cell_4,39,INF,8
6h_6_outline_TS_detect_AUTO_275.txt_Cell_5,67.497612,INF,8
6h_manual_integrated_density_01,296953.6056,INF,8
6h_manual_integrated_density_02,114785.2254,INF,8
6h_manual_integrated_density_03,70910.82984,INF,8
6h_manual_integrated_density_04,92475.89226,INF,8
6h_manual_integrated_density_05,44507.67199,INF,8
6h_manual_integrated_density_06,62424.14934,INF,8
6h_manual_integrated_density_07,96706.43913,INF,8
6h_manual_integrated_density_08,32163.58025,INF,8
6h_manual_integrated_density_09,28320.3752,INF,8
6h_manual_integrated_density_10,12959.34476,INF,8
6h_manual_integrated_density_11,14126.04049,INF,8
6h_manual_integrated_density_12,24839.83659,INF,8
6h_manual_integrated_density_13,184166.1733,INF,8
6h_manual_integrated_density_14,36587.61871,INF,8
6h_manual_integrated_density_15,50168.73374,INF,8
6h_manual_integrated_density_16,1055987.587,INF,8
6h_manual_integrated_density_17,94395.47132,INF,8
6h_manual_integrated_density_18,1715689.012,INF,8
6h_manual_integrated_density_19,36458.15683,INF,8
6h_manual_integrated_density_20,20482.27244,INF,8
6h_manual_integrated_density_21,90154.239920000007,INF,8
6h_manual_integrated_density_22,137273.9843,INF,8
6h_manual_integrated_density_23,263713.3884,INF,8
6h_manual_integrated_density_24,549324.6709,INF,8
6h_manual_integrated_density_25,564272.0492,INF,8
6h_manual_integrated_density_26,48687.14901,INF,8
6h_manual_integrated_density_27,126436.8193,INF,8
6h_manual_integrated_density_28,53853.98049,INF,8
6h_manual_integrated_density_29,40578.30451,INF,8
6h_manual_integrated_density_30,151531.9419,INF,8
6h_manual_integrated_density_31,255437.1996,INF,8
6h_manual_integrated_density_32,373027.6645,INF,8
6h_manual_integrated_density_33,25576.71141,INF,8
6h_manual_integrated_density_34,83024.84569,INF,8
6h_manual_integrated_density_35,77035.73839,INF,8
6h_manual_integrated_density_36,67734.88107,INF,8
6h_manual_integrated_density_37,604723.7607,INF,8
6h_manual_integrated_density_38,119973.7256,INF,8
6h_manual_integrated_density_39,21997.16307,INF,8
6h_manual_integrated_density_40,44834.22927,INF,8
6h_manual_integrated_density_41,5920.95502,INF,8
6h_manual_integrated_density_42,407455.4922,INF,8
6h_manual_integrated_density_43,46561.65425,INF,8
6h_manual_integrated_density_44,179882.0728,INF,8
6h_manual_integrated_density_45,156663.3196,INF,8
6h_manual_integrated_density_46,31016.62954,INF,8
6h_manual_integrated_density_47,132015.8356,INF,8
6h_manual_integrated_density_48,86916.67843,INF,8
6h_manual_integrated_density_49,238358.5586,INF,8
6h_manual_integrated_density_50,126588.9732,INF,8
